outer_iter,iter,N1,N2,N3,N4,DT1,DT2,DT3,DT4,cost,R_abs_sum,RT_abs_sum
2,17,60,60,60,60,76.7165,55.3782,103.565,51.7309,0,5.73165,0.302839
2,18,60,60,60,60,76.7165,55.3782,103.565,51.7309,0,5.73165,0.302839
2,19,60,60,60,60,76.7165,55.3782,103.565,51.7309,0,5.73165,0.302839
2,20,60,60,60,60,76.7167,55.3785,103.565,51.7313,0,5.73165,0.302839
2,21,60,60,60,60,76.7168,55.3785,103.565,51.7313,0,5.73165,0.302839
2,22,60,60,60,60,76.717,55.3788,103.565,51.7317,0,5.73165,0.302839
2,23,60,60,60,60,76.7171,55.3789,103.565,51.7318,0,5.73165,0.302839
2,24,60,60,60,60,76.7174,55.3791,103.565,51.7321,0,5.73165,0.302839
2,25,60,60,60,60,76.7175,55.3793,103.565,51.7323,0,5.73165,0.302839
2,26,60,60,60,60,76.7176,55.3794,103.565,51.7325,0,5.73165,0.302839
2,27,60,60,60,60,76.7177,55.3795,103.565,51.7327,0,5.73165,0.302839
2,28,60,60,60,60,76.7178,55.3796,103.565,51.7331,0,5.73165,0.302839
2,29,60,60,60,60,76.7181,55.3799,103.565,51.734,0,5.73165,0.302839
2,30,60,60,60,60,76.7181,55.3799,103.565,51.7343,0,5.73165,0.302839
2,31,60,60,60,60,76.7182,55.3799,103.565,51.7345,0,5.73165,0.302839
2,32,60,60,60,60,76.7182,55.3799,103.565,51.7346,0,5.73165,0.302839
2,33,60,60,60,60,76.7182,55.38,103.565,51.7347,0,5.73165,0.302839
2,34,60,60,60,60,76.7182,55.38,103.565,51.7348,0,5.73165,0.302839
2,35,60,60,60,60,76.7183,55.3801,103.566,51.7354,0,5.73165,0.302839
2,36,60,60,60,60,76.7185,55.3802,103.566,51.736,0,5.73165,0.302839
2,37,60,60,60,60,76.7185,55.3803,103.566,51.7364,0,5.73165,0.302839
2,38,60,60,60,60,76.7186,55.3803,103.566,51.7367,0,5.73165,0.302839
2,39,60,60,60,60,76.7187,55.3804,103.566,51.7376,0,5.73165,0.302839
2,40,60,60,60,60,76.7188,55.3805,103.566,51.7385,0,5.73165,0.302839
2,41,60,60,60,60,76.7189,55.3806,103.566,51.7391,0,5.73165,0.302839
2,42,60,60,60,60,76.7189,55.3806,103.566,51.7394,0,5.73165,0.302839
2,43,60,60,60,60,76.719,55.3807,103.566,51.74,0,5.73165,0.302839
2,44,60,60,60,60,76.719,55.3807,103.566,51.7407,0,5.73165,0.302839
2,45,60,60,60,60,76.7191,55.3808,103.566,51.7414,0,5.73165,0.302839
2,46,60,60,60,60,76.7192,55.3809,103.566,51.7429,0,5.73165,0.302839
2,47,60,60,60,60,76.7192,55.3809,103.566,51.7431,0,5.73165,0.302839
2,48,60,60,60,60,76.7192,55.3809,103.566,51.7434,0,5.73165,0.302839
2,49,60,60,60,60,76.7192,55.3809,103.566,51.7434,0,5.73165,0.302839
2,50,60,60,60,60,76.7192,55.3809,103.566,51.7434,0,5.73165,0.302839
2,51,60,60,60,60,76.7192,55.3809,103.566,51.7436,0,5.73165,0.302839
2,52,60,60,60,60,76.7192,55.3809,103.566,51.7437,0,5.73165,0.302839
3,1,60,60,60,60,76.7192,55.3809,103.566,51.7437,0,2.21961,0.0486139
3,2,60,60,60,60,76.7192,55.3809,103.566,51.7437,0,2.21961,0.0486139
3,3,60,60,60,60,76.7193,55.3809,103.566,51.7437,0,2.21961,0.0486139
3,4,60,60,60,60,76.7193,55.3809,103.566,51.7437,0,2.21961,0.0486139
3,5,60,60,60,60,76.7193,55.3809,103.566,51.7437,0,2.21961,0.0486139
3,6,60,60,60,60,76.7193,55.3809,103.566,51.7437,0,2.21961,0.0486139
3,7,60,60,60,60,76.7193,55.381,103.566,51.7437,0,2.21961,0.0486139
3,8,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,9,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,10,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,11,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,12,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,13,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,14,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,15,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,16,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,17,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,18,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,19,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,20,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,21,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,22,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,23,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,24,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
3,25,60,60,60,60,76.7193,55.381,103.566,51.7438,0,2.21961,0.0486139
