outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,83.012,2.50652e-05,-24.9502,74.8267,-2.61877e-06,-0.000157321,-0.00307514
0,1,84.0122,2.23541e-05,-24.9503,74.8237,-2.8011e-06,-0.000152912,-0.0029396
0,1,85.0123,1.95227e-05,-24.9505,74.8209,-2.85767e-06,-0.000144549,-0.00282816
0,1,86.0125,1.66874e-05,-24.9506,74.8181,-2.80814e-06,-0.00013357,-0.0027391
0,1,87.0126,1.39444e-05,-24.9507,74.8154,-2.67262e-06,-0.000121071,-0.00267057
0,1,88.0128,1.13699e-05,-24.9509,74.8127,-2.47083e-06,-0.00010793,-0.00262066
0,1,89.0129,9.0211e-06,-24.951,74.8101,-2.22142e-06,-9.48235e-05,-0.00258741
0,1,90.0131,6.93705e-06,-24.9511,74.8075,-1.94154e-06,-8.22549e-05,-0.00256885
0,1,91.0132,5.14064e-06,-24.9511,74.805,-1.64652e-06,-7.05715e-05,-0.00256301
0,1,92.0133,3.64039e-06,-24.9512,74.8024,-1.34973e-06,-5.99885e-05,-0.00256794
0,1,93.0135,2.43237e-06,-24.9512,74.7998,-1.06256e-06,-5.06078e-05,-0.00258178
0,1,94.0136,1.50224e-06,-24.9513,74.7972,-7.94469e-07,-4.24355e-05,-0.00260269
0,1,95.0138,8.27117e-07,-24.9513,74.7946,-5.5304e-07,-3.53977e-05,-0.00262893
0,1,96.0139,3.77368e-07,-24.9514,74.792,-3.44144e-07,-2.93533e-05,-0.00265886
0,1,97.0141,1.18283e-07,-24.9514,74.7893,-1.72054e-07,-2.41063e-05,-0.00269092
0,1,98.0142,1.16067e-08,-24.9514,74.7866,-3.9571e-08,-1.94149e-05,-0.00272369
0,1,99.0144,1.69602e-08,-24.9514,74.7839,5.18728e-08,-1.50002e-05,-0.00275585
0,1,100.015,9.3177e-08,-24.9514,74.7811,1.02147e-07,-1.05537e-05,-0.00278624
0,1,101.015,1.99589e-07,-24.9515,74.7783,1.12386e-07,-5.74416e-06,-0.00281383
0,1,102.015,2.97296e-07,-24.9515,74.7755,8.49955e-08,-2.24589e-07,-0.00283774
0,1,103.015,3.50454e-07,-24.9515,74.7726,2.36855e-08,6.36032e-06,-0.00285729
0,1,104.015,3.27613e-07,-24.9514,74.7697,-6.64656e-08,1.43656e-05,-0.00287193
0,1,105.015,2.03127e-07,-24.9514,74.7669,-1.78938e-07,2.41359e-05,-0.00288134
0,1,106.015,-4.13714e-08,-24.9514,74.764,-3.057e-07,3.59935e-05,-0.0028854
0,1,107.016,-4.1543e-07,-24.9513,74.7611,-4.37165e-07,5.02231e-05,-0.00288418
0,1,108.016,-9.18229e-07,-24.9513,74.7582,-5.62199e-07,6.70548e-05,-0.00287804
0,1,109.016,-1.53706e-06,-24.9512,74.7553,-6.68209e-07,8.6643e-05,-0.00286756
0,1,110.016,-2.24599e-06,-24.9511,74.7525,-7.41332e-07,0.000109041,-0.00285362
0,1,111.016,-3.00469e-06,-24.951,74.7496,-7.66765e-07,0.000134173,-0.00283741
0,1,112.016,-3.75781e-06,-24.9508,74.7468,-7.29266e-07,0.000161797,-0.00282043
0,1,113.016,-4.43484e-06,-24.9507,74.744,-6.13875e-07,0.000191462,-0.00280458
0,1,114.017,-4.95092e-06,-24.9505,74.7412,-4.06922e-07,0.00022246,-0.00279208
0,1,115.017,-5.20878e-06,-24.9502,74.7384,-9.73931e-08,0.000253772,-0.00278562
0,1,116.017,-5.10229e-06,-24.95,74.7356,3.21279e-07,0.000284013,-0.00278826
0,1,117.017,-4.52201e-06,-24.9497,74.7328,8.4901e-07,0.000311383,-0.00280355
0,1,118.017,-3.36313e-06,-24.9493,74.73,1.47645e-06,0.000333617,-0.00283548
0,1,119.017,-1.53623e-06,-24.949,74.7271,2.182e-06,0.000347949,-0.00288855
0,1,120.017,1.0195e-06,-24.9486,74.7242,2.93048e-06,0.000352823,-0.00296506,phase2_terminal
0,1,120.017,-3.49686e-07,24.999,74.9974,-3.50323e-05,0.000612626,-0.00133527,phase3_init
0,1,121.018,-3.48951e-05,24.9997,74.996,-3.40463e-05,0.000618653,-0.00143722
0,1,122.018,-6.84469e-05,25.0003,74.9945,-3.30454e-05,0.000624482,-0.00153883
0,1,123.018,-0.00010099,25.0009,74.9929,-3.20299e-05,0.000630112,-0.00164009
0,1,124.018,-0.000132511,25.0015,74.9912,-3.10002e-05,0.000635542,-0.00174104
0,1,125.018,-0.000162995,25.0022,74.9894,-2.99569e-05,0.000640769,-0.00184166
0,1,126.018,-0.000192428,25.0028,74.9875,-2.89003e-05,0.000645793,-0.00194198
0,1,127.018,-0.000220799,25.0035,74.9855,-2.78308e-05,0.000650614,-0.00204201
0,1,128.019,-0.000248094,25.0041,74.9834,-2.6749e-05,0.000655229,-0.00214175
