time,u0,u1,u2,phase
107.5,7.87801e-05,-2.72098e-05,-4.90648e-06,1
108,7.77088e-05,-2.66593e-05,-4.42024e-06,1
108.5,7.66325e-05,-2.61113e-05,-3.94381e-06,1
109,7.55517e-05,-2.55659e-05,-3.47742e-06,1
109.5,7.44668e-05,-2.50231e-05,-3.02126e-06,1
110,7.33781e-05,-2.44829e-05,-2.57554e-06,1
110.5,7.22861e-05,-2.39452e-05,-2.14044e-06,1
111,7.11912e-05,-2.341e-05,-1.71615e-06,1
111.5,7.00937e-05,-2.28774e-05,-1.30283e-06,1
112,6.8994e-05,-2.23473e-05,-9.00645e-07,1
112.5,6.78925e-05,-2.18198e-05,-5.09746e-07,1
113,6.67895e-05,-2.12947e-05,-1.30274e-07,1
113.5,6.56854e-05,-2.07722e-05,2.37638e-07,1
114,6.45806e-05,-2.02522e-05,5.93869e-07,1
114.5,6.34754e-05,-1.97347e-05,9.38306e-07,1
115,6.23702e-05,-1.92197e-05,1.27085e-06,1
115.5,6.12652e-05,-1.87072e-05,1.5914e-06,1
116,6.01608e-05,-1.81972e-05,1.89987e-06,1
116.5,5.90573e-05,-1.76897e-05,2.19621e-06,1
117,5.79551e-05,-1.71847e-05,2.48033e-06,1
117.5,5.68544e-05,-1.66822e-05,2.75219e-06,1
118,5.57555e-05,-1.61821e-05,3.01174e-06,1
118.5,5.46588e-05,-1.56845e-05,3.25896e-06,1
119,5.35644e-05,-1.51893e-05,3.49381e-06,1
119.5,5.24728e-05,-1.46967e-05,3.71628e-06,1
120,5.13841e-05,-1.42065e-05,3.92638e-06,1
120.5,5.02986e-05,-1.37187e-05,4.12409e-06,1
121,4.92166e-05,-1.32334e-05,4.30945e-06,1
121.5,4.81383e-05,-1.27505e-05,4.48246e-06,1
122,4.7064e-05,-1.227e-05,4.64318e-06,1
122.5,4.59939e-05,-1.17919e-05,4.79163e-06,1
123,4.49283e-05,-1.13163e-05,4.92788e-06,1
123.5,4.38673e-05,-1.08431e-05,5.05198e-06,1
124,4.28111e-05,-1.03722e-05,5.164e-06,1
124.5,4.176e-05,-9.90377e-06,5.26403e-06,1
125,4.07143e-05,-9.43767e-06,5.35214e-06,1
125.5,3.96739e-05,-8.97392e-06,5.42845e-06,1
126,3.86393e-05,-8.51252e-06,5.49304e-06,1
126.5,3.76105e-05,-8.05345e-06,5.54604e-06,1
127,3.65876e-05,-7.59669e-06,5.58757e-06,1
127.5,3.5571e-05,-7.14222e-06,5.61776e-06,1
128,3.45607e-05,-6.69004e-06,5.63674e-06,1
128.5,3.35568e-05,-6.24011e-06,5.64466e-06,1
129,3.25596e-05,-5.79243e-06,5.64167e-06,1
129.5,3.15692e-05,-5.34698e-06,5.62793e-06,1
130,3.05857e-05,-4.90372e-06,5.6036e-06,1
130.5,2.96092e-05,-4.46265e-06,5.56887e-06,1
131,2.86398e-05,-4.02373e-06,5.52391e-06,1
131.5,2.76777e-05,-3.58696e-06,5.4689e-06,1
132,2.67229e-05,-3.15229e-06,5.40405e-06,1
132.5,2.57756e-05,-2.71971e-06,5.32955e-06,1
133,2.48358e-05,-2.28918e-06,5.2456e-06,1
133.5,2.39037e-05,-1.86069e-06,5.15241e-06,1
134,2.29792e-05,-1.43421e-06,5.05021e-06,1
134.5,2.20626e-05,-1.0097e-06,4.93922e-06,1
135,2.11538e-05,-5.87131e-07,4.81965e-06,1
135.5,2.02529e-05,-1.6648e-07,4.69175e-06,1
136,1.936e-05,2.52287e-07,4.55575e-06,1
136.5,1.8475e-05,6.69203e-07,4.41189e-06,1
137,1.75982e-05,1.0843e-06,4.26041e-06,1
137.5,1.67294e-05,1.49762e-06,4.10156e-06,1
138,1.58687e-05,1.90918e-06,3.93561e-06,1
138.5,1.50161e-05,2.31903e-06,3.76279e-06,1
139,1.41717e-05,2.72721e-06,3.58338e-06,1
139.5,1.33355e-05,3.13374e-06,3.39764e-06,1
140,1.25074e-05,3.53867e-06,3.20583e-06,1
140.5,1.16876e-05,3.94203e-06,3.00822e-06,1
141,1.08758e-05,4.34386e-06,2.80508e-06,1
141.5,1.00723e-05,4.74421e-06,2.59669e-06,1
142,9.27686e-06,5.14311e-06,2.38333e-06,1
142.5,8.48956e-06,5.54059e-06,2.16526e-06,1
143,7.71037e-06,5.93671e-06,1.94277e-06,1
143.5,6.93923e-06,6.3315e-06,1.71615e-06,1
144,6.17613e-06,6.72501e-06,1.48567e-06,1
144.5,5.42102e-06,7.11727e-06,1.25161e-06,1
145,4.67385e-06,7.50832e-06,1.01426e-06,1
145.5,3.93458e-06,7.89821e-06,7.73915e-07,1
146,3.20315e-06,8.28698e-06,5.30847e-07,1
146.5,2.4795e-06,8.67468e-06,2.85347e-07,1
147,1.76357e-06,9.06133e-06,3.77005e-08,1
147.5,1.05528e-06,9.447e-06,-2.11806e-07,1
148,3.54583e-07,9.83171e-06,-4.62888e-07,1
148.5,-3.38614e-07,1.02155e-05,-7.15259e-07,1
149,-1.02439e-06,1.05985e-05,-9.68634e-07,1
149.5,-1.70282e-06,1.09806e-05,-1.22273e-06,1
150,-2.374e-06,1.13619e-05,-1.47726e-06,1
150.5,-3.03801e-06,1.17425e-05,-1.73195e-06,1
151,-3.69496e-06,1.21224e-05,-1.98651e-06,1
151.5,-4.34493e-06,1.25016e-05,-2.24067e-06,1
152,-4.98803e-06,1.28802e-05,-2.49415e-06,1
152.5,-5.62437e-06,1.32583e-05,-2.74666e-06,1
153,-6.25404e-06,1.36358e-05,-2.99795e-06,1
153.5,-6.87717e-06,1.40128e-05,-3.24773e-06,1
154,-7.49386e-06,1.43893e-05,-3.49574e-06,1
154.5,-8.10423e-06,1.47655e-05,-3.7417e-06,1
155,-8.70839e-06,1.51412e-05,-3.98536e-06,1
155.5,-9.30647e-06,1.55166e-05,-4.22645e-06,1
156,-9.89859e-06,1.58917e-05,-4.46471e-06,1
156.5,-1.04849e-05,1.62666e-05,-4.69989e-06,1
157,-1.10654e-05,1.66412e-05,-4.93173e-06,1
157.5,-1.16404e-05,1.70156e-05,-5.15999e-06,1
158,-1.221e-05,1.73899e-05,-5.3844e-06,1
158.5,-1.27742e-05,1.7764e-05,-5.60474e-06,1
159,-1.33333e-05,1.8138e-05,-5.82076e-06,1
159.5,-1.38873e-05,1.8512e-05,-6.03223e-06,1
160,-1.44364e-05,1.8886e-05,-6.23891e-06,1
160.5,-1.49807e-05,1.92599e-05,-6.44057e-06,1
161,-1.55204e-05,1.96339e-05,-6.63699e-06,1
161.5,-1.60556e-05,2.00079e-05,-6.82795e-06,1
162,-1.65865e-05,2.03821e-05,-7.01323e-06,1
162.5,-1.71132e-05,2.07563e-05,-7.19263e-06,1
163,-1.76357e-05,2.11307e-05,-7.36592e-06,1
163.5,-1.81544e-05,2.15053e-05,-7.53291e-06,1
164,-1.86693e-05,2.188e-05,-7.69341e-06,1
164.5,-1.91806e-05,2.2255e-05,-7.8472e-06,1
165,-1.96884e-05,2.26302e-05,-7.99412e-06,1
165.5,-2.01929e-05,2.30056e-05,-8.13397e-06,1
166,-2.06941e-05,2.33814e-05,-8.26657e-06,1
166.5,-2.11923e-05,2.37574e-05,-8.39174e-06,1
167,-2.16876e-05,2.41337e-05,-8.50933e-06,1
167.5,-2.21802e-05,2.45104e-05,-8.61916e-06,1
168,-2.26701e-05,2.48874e-05,-8.72107e-06,1
168.5,-2.31575e-05,2.52648e-05,-8.81491e-06,1
169,-2.36426e-05,2.56426e-05,-8.90053e-06,1
169.5,-2.41255e-05,2.60207e-05,-8.97778e-06,1
170,-2.46064e-05,2.63993e-05,-9.04654e-06,1
170.5,-2.50853e-05,2.67782e-05,-9.10666e-06,1
171,-2.55625e-05,2.71576e-05,-9.15801e-06,1
171.5,-2.60381e-05,2.75373e-05,-9.20049e-06,1
172,-2.65121e-05,2.79176e-05,-9.23396e-06,1
172.5,-2.69848e-05,2.82982e-05,-9.25832e-06,1
173,-2.74562e-05,2.86793e-05,-9.27346e-06,1
173.5,-2.79265e-05,2.90608e-05,-9.27928e-06,1
174,-2.83959e-05,2.94428e-05,-9.2757e-06,1
174.5,-2.88643e-05,2.98251e-05,-9.26261e-06,1
175,-2.93321e-05,3.0208e-05,-9.23995e-06,1
175.5,-2.97993e-05,3.05913e-05,-9.20762e-06,1
176,-3.0266e-05,3.0975e-05,-9.16557e-06,1
176.5,-3.07323e-05,3.13591e-05,-9.11372e-06,1
177,-3.11984e-05,3.17436e-05,-9.05202e-06,1
177.5,-3.16643e-05,3.21286e-05,-8.9804e-06,1
178,-3.21302e-05,3.25139e-05,-8.89884e-06,1
178.5,-3.25962e-05,3.28997e-05,-8.80727e-06,1
179,-3.30624e-05,3.32858e-05,-8.70566e-06,1
179.5,-3.35289e-05,3.36723e-05,-8.594e-06,1
180,-3.39958e-05,3.40592e-05,-8.47223e-06,1
180.5,-3.44631e-05,3.44464e-05,-8.34036e-06,1
181,-3.49311e-05,3.48339e-05,-8.19837e-06,1
181.5,-3.53997e-05,3.52218e-05,-8.04624e-06,1
182,-3.5869e-05,3.56099e-05,-7.88397e-06,1
182.5,-3.63392e-05,3.59983e-05,-7.71157e-06,1
183,-3.68103e-05,3.63869e-05,-7.52905e-06,1
183.5,-3.72824e-05,3.67757e-05,-7.33642e-06,1
184,-3.77556e-05,3.71648e-05,-7.13371e-06,1
184.5,-3.82299e-05,3.7554e-05,-6.92092e-06,1
185,-3.87053e-05,3.79434e-05,-6.6981e-06,1
185.5,-3.91821e-05,3.83329e-05,-6.46529e-06,1
