time,wx,wy,wz,qw,qx,qy,qz,angle_to_exclusion,angle_to_los,angle_to_docking,phase
33,-0.00706386,-0.00182202,0.00912402,0.605059,-0.0512741,-0.0762553,0.79086,161.661,79.4751,75.1566,1
33.5,-0.00707354,-0.00184545,0.00904034,0.603127,-0.0521561,-0.0778103,0.792126,161.332,79.2698,74.9082,1
34,-0.007082,-0.00186937,0.00895409,0.601206,-0.0530328,-0.0793711,0.793372,161.004,79.0642,74.6626,1
34.5,-0.00708925,-0.00189379,0.0088654,0.599297,-0.0539039,-0.0809377,0.794599,160.678,78.8584,74.4199,1
35,-0.00709532,-0.00191872,0.00877438,0.597399,-0.054769,-0.0825099,0.795806,160.354,78.6523,74.1802,1
35.5,-0.00710021,-0.00194416,0.00868115,0.595514,-0.0556277,-0.0840876,0.796993,160.032,78.4462,73.9436,1
36,-0.00710395,-0.00197012,0.00858583,0.593643,-0.0564797,-0.0856707,0.79816,159.713,78.2398,73.7101,1
36.5,-0.00710654,-0.00199661,0.00848852,0.591784,-0.0573245,-0.087259,0.799307,159.395,78.0334,73.4798,1
37,-0.00710802,-0.00202364,0.00838932,0.589941,-0.0581619,-0.0888525,0.800433,159.08,77.827,73.2527,1
37.5,-0.00710838,-0.00205119,0.00828836,0.588111,-0.0589914,-0.090451,0.801538,158.767,77.6204,73.029,1
38,-0.00710765,-0.00207928,0.00818571,0.586297,-0.0598127,-0.0920544,0.802624,158.457,77.4139,72.8086,1
38.5,-0.00710584,-0.00210791,0.0080815,0.584498,-0.0606254,-0.0936626,0.803688,158.148,77.2074,72.5917,1
39,-0.00710297,-0.00213708,0.0079758,0.582715,-0.0614292,-0.0952755,0.804731,157.843,77.001,72.3782,1
39.5,-0.00709905,-0.00216678,0.00786873,0.580948,-0.0622238,-0.0968929,0.805754,157.54,76.7947,72.1683,1
40,-0.00709409,-0.00219702,0.00776035,0.579198,-0.0630087,-0.0985149,0.806755,157.239,76.5885,71.9619,1
40.5,-0.00708812,-0.00222779,0.00765078,0.577465,-0.0637837,-0.100141,0.807736,156.941,76.3824,71.7592,1
41,-0.00708114,-0.00225909,0.00754008,0.575749,-0.0645485,-0.101772,0.808696,156.646,76.1765,71.56,1
41.5,-0.00707317,-0.00229092,0.00742835,0.574051,-0.0653026,-0.103407,0.809635,156.354,75.9708,71.3646,1
42,-0.00706421,-0.00232327,0.00731566,0.572371,-0.0660458,-0.105045,0.810552,156.064,75.7653,71.1728,1
42.5,-0.0070543,-0.00235613,0.0072021,0.570709,-0.0667777,-0.106688,0.811449,155.777,75.56,70.9848,1
43,-0.00704343,-0.00238951,0.00708774,0.569065,-0.0674981,-0.108335,0.812325,155.493,75.3551,70.8006,1
43.5,-0.00703162,-0.00242339,0.00697264,0.56744,-0.0682066,-0.109985,0.813181,155.211,75.1504,70.6202,1
44,-0.00701889,-0.00245776,0.00685689,0.565834,-0.068903,-0.111639,0.814015,154.933,74.9461,70.4435,1
44.5,-0.00700525,-0.00249263,0.00674055,0.564248,-0.0695868,-0.113297,0.814829,154.657,74.7422,70.2707,1
45,-0.0069907,-0.00252797,0.00662368,0.56268,-0.0702579,-0.114958,0.815622,154.385,74.5386,70.1017,1
45.5,-0.00697527,-0.00256379,0.00650635,0.561133,-0.070916,-0.116622,0.816395,154.115,74.3354,69.9367,1
46,-0.00695896,-0.00260007,0.00638863,0.559605,-0.0715607,-0.11829,0.817147,153.848,74.1326,69.7754,1
46.5,-0.00694178,-0.00263681,0.00627056,0.558096,-0.0721918,-0.11996,0.817879,153.584,73.9303,69.6181,1
47,-0.00692376,-0.00267399,0.00615221,0.556608,-0.0728091,-0.121634,0.818591,153.324,73.7285,69.4647,1
47.5,-0.00690489,-0.0027116,0.00603362,0.55514,-0.0734122,-0.123311,0.819283,153.066,73.5272,69.3152,1
48,-0.0068852,-0.00274963,0.00591486,0.553693,-0.0740009,-0.12499,0.819955,152.811,73.3263,69.1695,1
48.5,-0.00686469,-0.00278807,0.00579597,0.552265,-0.0745749,-0.126673,0.820607,152.56,73.1261,69.0278,1
49,-0.00684338,-0.00282692,0.00567701,0.550858,-0.0751341,-0.128357,0.821239,152.311,72.9264,68.8901,1
49.5,-0.00682127,-0.00286615,0.00555801,0.549472,-0.0756781,-0.130045,0.821853,152.066,72.7272,68.7562,1
50,-0.00679837,-0.00290576,0.00543902,0.548106,-0.0762067,-0.131734,0.822446,151.824,72.5287,68.6262,1
50.5,-0.00677471,-0.00294573,0.00532009,0.546761,-0.0767197,-0.133426,0.823021,151.584,72.3308,68.5002,1
51,-0.00675028,-0.00298606,0.00520126,0.545437,-0.0772169,-0.135121,0.823576,151.348,72.1336,68.378,1
51.5,-0.00672511,-0.00302673,0.00508256,0.544134,-0.0776981,-0.136817,0.824113,151.115,71.9371,68.2598,1
52,-0.00669919,-0.00306772,0.00496403,0.542851,-0.078163,-0.138515,0.824631,150.886,71.7412,68.1454,1
52.5,-0.00667255,-0.00310903,0.00484572,0.541589,-0.0786114,-0.140215,0.825131,150.659,71.5461,68.0349,1
53,-0.00664519,-0.00315064,0.00472766,0.540348,-0.0790432,-0.141917,0.825612,150.436,71.3517,67.9283,1
53.5,-0.00661712,-0.00319254,0.00460987,0.539128,-0.0794581,-0.14362,0.826075,150.215,71.158,67.8255,1
54,-0.00658836,-0.00323472,0.0044924,0.537929,-0.079856,-0.145325,0.826521,149.998,70.9652,67.7266,1
54.5,-0.00655891,-0.00327716,0.00437527,0.53675,-0.0802366,-0.147032,0.826948,149.784,70.7731,67.6315,1
55,-0.00652879,-0.00331985,0.00425851,0.535592,-0.0805999,-0.148739,0.827358,149.573,70.5819,67.5402,1
55.5,-0.006498,-0.00336277,0.00414216,0.534455,-0.0809456,-0.150448,0.82775,149.365,70.3915,67.4527,1
56,-0.00646656,-0.00340593,0.00402624,0.533339,-0.0812735,-0.152158,0.828126,149.161,70.202,67.369,1
56.5,-0.00643447,-0.00344929,0.00391077,0.532243,-0.0815836,-0.153869,0.828484,148.96,70.0134,67.289,1
57,-0.00640175,-0.00349286,0.00379579,0.531168,-0.0818756,-0.15558,0.828825,148.761,69.8257,67.2128,1
57.5,-0.00636842,-0.00353661,0.00368132,0.530114,-0.0821494,-0.157293,0.82915,148.566,69.6389,67.1402,1
58,-0.00633446,-0.00358053,0.00356738,0.52908,-0.0824049,-0.159005,0.829459,148.374,69.4531,67.0714,1
58.5,-0.00629991,-0.00362461,0.00345399,0.528066,-0.0826419,-0.160719,0.829751,148.186,69.2682,67.0062,1
59,-0.00626477,-0.00366884,0.00334119,0.527073,-0.0828604,-0.162432,0.830027,148,69.0843,66.9446,1
59.5,-0.00622905,-0.00371321,0.00322899,0.5261,-0.0830601,-0.164146,0.830287,147.818,68.9015,66.8867,1
60,-0.00619277,-0.0037577,0.00311741,0.525147,-0.0832409,-0.16586,0.830531,147.639,68.7196,66.8323,1
60.5,-0.00615592,-0.0038023,0.00300647,0.524214,-0.0834028,-0.167574,0.830761,147.462,68.5389,66.7815,1
61,-0.00611853,-0.003847,0.0028962,0.5233,-0.0835457,-0.169288,0.830974,147.29,68.3592,66.7343,1
61.5,-0.0060806,-0.00389178,0.00278662,0.522407,-0.0836694,-0.171002,0.831173,147.12,68.1806,66.6905,1
62,-0.00604215,-0.00393664,0.00267773,0.521534,-0.0837738,-0.172715,0.831357,146.953,68.0031,66.6501,1
62.5,-0.00600319,-0.00398156,0.00256958,0.52068,-0.0838589,-0.174427,0.831526,146.789,67.8267,66.6132,1
63,-0.00596372,-0.00402653,0.00246216,0.519845,-0.0839245,-0.176139,0.831681,146.629,67.6515,66.5798,1
63.5,-0.00592377,-0.00407154,0.00235551,0.51903,-0.0839706,-0.177851,0.831821,146.471,67.4775,66.5496,1
64,-0.00588333,-0.00411657,0.00224963,0.518234,-0.0839972,-0.179561,0.831947,146.317,67.3046,66.5228,1
64.5,-0.00584243,-0.00416163,0.00214456,0.517456,-0.084004,-0.181271,0.83206,146.166,67.133,66.4993,1
65,-0.00580107,-0.00420668,0.00204029,0.516698,-0.0839912,-0.182979,0.832158,146.018,66.9627,66.4791,1
65.5,-0.00575926,-0.00425173,0.00193687,0.515958,-0.0839586,-0.184686,0.832243,145.873,66.7935,66.4621,1
66,-0.00571702,-0.00429677,0.00183429,0.515237,-0.0839061,-0.186392,0.832315,145.731,66.6257,66.4483,1
66.5,-0.00567436,-0.00434177,0.00173258,0.514535,-0.0838338,-0.188096,0.832374,145.592,66.4591,66.4376,1
67,-0.00563129,-0.00438674,0.00163175,0.51385,-0.0837416,-0.189799,0.832419,145.456,66.2939,66.43,1
67.5,-0.00558782,-0.00443165,0.00153182,0.513184,-0.0836294,-0.1915,0.832452,145.323,66.13,66.4255,1
68,-0.00554396,-0.00447651,0.00143281,0.512535,-0.0834972,-0.193199,0.832472,145.193,65.9674,66.4241,1
68.5,-0.00549973,-0.0045213,0.00133474,0.511904,-0.083345,-0.194896,0.83248,145.066,65.8063,66.4256,1
69,-0.00545514,-0.00456601,0.00123762,0.511291,-0.0831727,-0.196591,0.832476,144.942,65.6465,66.4301,1
69.5,-0.00541019,-0.00461063,0.00114147,0.510694,-0.0829804,-0.198284,0.83246,144.821,65.4881,66.4375,1
70,-0.00536491,-0.00465514,0.0010463,0.510115,-0.0827681,-0.199974,0.832431,144.703,65.3312,66.4477,1
70.5,-0.0053193,-0.00469956,0.000952127,0.509553,-0.0825356,-0.201663,0.832392,144.588,65.1757,66.4608,1
71,-0.00527338,-0.00474385,0.000858973,0.509007,-0.0822832,-0.203348,0.83234,144.476,65.0217,66.4767,1
71.5,-0.00522715,-0.00478801,0.000766852,0.508478,-0.0820106,-0.205031,0.832278,144.367,64.8691,66.4953,1
72,-0.00518064,-0.00483204,0.000675779,0.507965,-0.081718,-0.206711,0.832204,144.26,64.7181,66.5166,1
72.5,-0.00513385,-0.00487593,0.00058577,0.507468,-0.0814054,-0.208389,0.83212,144.157,64.5686,66.5405,1
73,-0.0050868,-0.00491966,0.000496841,0.506987,-0.0810728,-0.210063,0.832025,144.056,64.4206,66.5671,1
73.5,-0.00503949,-0.00496322,0.000409007,0.506521,-0.0807202,-0.211734,0.831919,143.958,64.2742,66.5962,1
74,-0.00499195,-0.00500662,0.000322283,0.506071,-0.0803476,-0.213402,0.831803,143.863,64.1294,66.6278,1
74.5,-0.00494417,-0.00504984,0.000236685,0.505636,-0.0799551,-0.215067,0.831676,143.771,63.9861,66.6619,1
75,-0.00489619,-0.00509287,0.000152227,0.505216,-0.0795427,-0.216728,0.83154,143.681,63.8445,66.6983,1
75.5,-0.004848,-0.0051357,6.89243e-05,0.50481,-0.0791105,-0.218386,0.831394,143.595,63.7045,66.7372,1
76,-0.00479962,-0.00517833,-1.32082e-05,0.504418,-0.0786586,-0.22004,0.831238,143.511,63.5661,66.7784,1
76.5,-0.00475107,-0.00522075,-9.41563e-05,0.504041,-0.0781869,-0.22169,0.831073,143.429,63.4294,66.8218,1
77,-0.00470235,-0.00526296,-0.000173906,0.503678,-0.0776955,-0.223337,0.830899,143.351,63.2943,66.8675,1
77.5,-0.00465348,-0.00530493,-0.000252443,0.503328,-0.0771845,-0.22498,0.830715,143.275,63.1609,66.9154,1
78,-0.00460448,-0.00534667,-0.000329754,0.502991,-0.076654,-0.226618,0.830523,143.202,63.0293,66.9653,1
78.5,-0.00455534,-0.00538818,-0.000405826,0.502668,-0.0761041,-0.228252,0.830322,143.131,62.8993,67.0174,1
79,-0.0045061,-0.00542943,-0.000480645,0.502357,-0.0755348,-0.229882,0.830112,143.063,62.7711,67.0715,1
79.5,-0.00445675,-0.00547043,-0.0005542,0.502059,-0.0749462,-0.231508,0.829894,142.998,62.6446,67.1275,1
80,-0.00440731,-0.00551117,-0.000626477,0.501773,-0.0743385,-0.233129,0.829668,142.935,62.5198,67.1855,1
80.5,-0.0043578,-0.00555165,-0.000697464,0.501499,-0.0737116,-0.234746,0.829433,142.874,62.3968,67.2454,1
81,-0.00430823,-0.00559184,-0.00076715,0.501237,-0.0730657,-0.236358,0.829191,142.816,62.2756,67.307,1
81.5,-0.0042586,-0.00563176,-0.000835525,0.500986,-0.072401,-0.237966,0.828941,142.761,62.1562,67.3705,1
82,-0.00420894,-0.0056714,-0.000902576,0.500746,-0.0717174,-0.239568,0.828684,142.708,62.0386,67.4357,1
82.5,-0.00415925,-0.00571074,-0.000968294,0.500517,-0.0710152,-0.241166,0.828419,142.657,61.9227,67.5025,1
83,-0.00410955,-0.00574978,-0.00103267,0.500299,-0.0702944,-0.242759,0.828147,142.609,61.8087,67.571,1
83.5,-0.00405985,-0.00578852,-0.00109569,0.500091,-0.0695552,-0.244347,0.827868,142.563,61.6965,67.6411,1
84,-0.00401015,-0.00582695,-0.00115735,0.499893,-0.0687977,-0.245929,0.827583,142.52,61.5862,67.7126,1
84.5,-0.00396048,-0.00586507,-0.00121764,0.499704,-0.0680221,-0.247507,0.82729,142.479,61.4776,67.7856,1
85,-0.00391084,-0.00590286,-0.00127656,0.499525,-0.0672283,-0.249079,0.826992,142.44,61.371,67.8601,1
85.5,-0.00386125,-0.00594034,-0.00133409,0.499355,-0.0664167,-0.250646,0.826687,142.403,61.2661,67.9359,1
86,-0.00381172,-0.00597748,-0.00139023,0.499193,-0.0655874,-0.252207,0.826375,142.369,61.1632,68.013,1
86.5,-0.00376226,-0.00601429,-0.00144497,0.49904,-0.0647404,-0.253763,0.826058,142.337,61.0621,68.0914,1
87,-0.00371288,-0.00605076,-0.0014983,0.498895,-0.063876,-0.255313,0.825735,142.307,60.9628,68.171,1
87.5,-0.0036636,-0.00608688,-0.00155023,0.498758,-0.0629942,-0.256858,0.825407,142.279,60.8655,68.2518,1
88,-0.00361441,-0.00612266,-0.00160075,0.498629,-0.0620953,-0.258397,0.825073,142.253,60.77,68.3336,1
88.5,-0.00356535,-0.00615809,-0.00164985,0.498506,-0.0611795,-0.25993,0.824733,142.229,60.6764,68.4166,1
89,-0.00351641,-0.00619315,-0.00169754,0.498391,-0.0602468,-0.261457,0.824389,142.207,60.5846,68.5005,1
89.5,-0.00346761,-0.00622786,-0.0017438,0.498282,-0.0592975,-0.262979,0.824039,142.187,60.4947,68.5854,1
90,-0.00341896,-0.00626221,-0.00178864,0.49818,-0.0583317,-0.264494,0.823685,142.17,60.4068,68.6712,1
90.5,-0.00337047,-0.00629619,-0.00183206,0.498083,-0.0573497,-0.266004,0.823326,142.154,60.3206,68.7579,1
91,-0.00332215,-0.00632979,-0.00187406,0.497993,-0.0563515,-0.267507,0.822963,142.14,60.2364,68.8454,1
91.5,-0.00327401,-0.00636302,-0.00191463,0.497907,-0.0553373,-0.269005,0.822595,142.128,60.154,68.9336,1
92,-0.00322606,-0.00639588,-0.00195378,0.497827,-0.0543075,-0.270496,0.822223,142.117,60.0735,69.0226,1
92.5,-0.00317832,-0.00642835,-0.00199152,0.497751,-0.0532621,-0.271981,0.821847,142.109,59.9949,69.1122,1
93,-0.00313078,-0.00646044,-0.00202783,0.49768,-0.0522013,-0.27346,0.821467,142.102,59.9181,69.2024,1
93.5,-0.00308347,-0.00649215,-0.00206273,0.497613,-0.0511253,-0.274933,0.821084,142.097,59.8432,69.2932,1
94,-0.00303639,-0.00652346,-0.00209623,0.49755,-0.0500344,-0.2764,0.820697,142.094,59.7702,69.3846,1
94.5,-0.00298955,-0.00655439,-0.00212832,0.497491,-0.0489287,-0.27786,0.820307,142.092,59.6989,69.4764,1
95,-0.00294297,-0.00658492,-0.00215901,0.497434,-0.0478085,-0.279314,0.819913,142.092,59.6295,69.5686,1
95.5,-0.00289664,-0.00661506,-0.00218831,0.497381,-0.0466738,-0.280761,0.819516,142.094,59.562,69.6612,1
96,-0.00285058,-0.00664479,-0.00221623,0.49733,-0.045525,-0.282202,0.819116,142.097,59.4962,69.7542,1
96.5,-0.0028048,-0.00667413,-0.00224277,0.497282,-0.0443623,-0.283637,0.818714,142.101,59.4323,69.8474,1
97,-0.0027593,-0.00670307,-0.00226794,0.497236,-0.0431858,-0.285065,0.818309,142.107,59.3702,69.9409,1
97.5,-0.00271411,-0.0067316,-0.00229175,0.497192,-0.0419959,-0.286487,0.817901,142.115,59.3098,70.0346,1
98,-0.00266921,-0.00675973,-0.00231421,0.497149,-0.0407926,-0.287902,0.817491,142.124,59.2512,70.1285,1
98.5,-0.00262463,-0.00678746,-0.00233534,0.497107,-0.0395762,-0.289311,0.817079,142.134,59.1944,70.2225,1
99,-0.00258037,-0.00681478,-0.00235514,0.497066,-0.0383469,-0.290713,0.816664,142.146,59.1394,70.3166,1
99.5,-0.00253643,-0.00684169,-0.00237363,0.497026,-0.037105,-0.292109,0.816248,142.159,59.086,70.4107,1
100,-0.00249283,-0.00686819,-0.00239081,0.496986,-0.0358506,-0.293498,0.81583,142.173,59.0344,70.5048,1
100.5,-0.00244958,-0.00689428,-0.00240671,0.496947,-0.034584,-0.29488,0.81541,142.189,58.9845,70.5989,1
101,-0.00240667,-0.00691997,-0.00242133,0.496907,-0.0333054,-0.296257,0.814988,142.205,58.9363,70.6929,1
101.5,-0.00236412,-0.00694524,-0.0024347,0.496867,-0.0320151,-0.297626,0.814565,142.223,58.8897,70.7868,1
102,-0.00232194,-0.0069701,-0.00244683,0.496826,-0.0307132,-0.298989,0.814141,142.242,58.8449,70.8806,1
102.5,-0.00228013,-0.00699455,-0.00245773,0.496784,-0.0294,-0.300346,0.813716,142.262,58.8016,70.9741,1
103,-0.0022387,-0.00701859,-0.00246742,0.496741,-0.0280757,-0.301696,0.813289,142.284,58.76,71.0674,1
103.5,-0.00219765,-0.00704222,-0.00247592,0.496697,-0.0267405,-0.303039,0.812862,142.306,58.7199,71.1605,1
104,-0.00215699,-0.00706544,-0.00248324,0.496651,-0.0253947,-0.304376,0.812433,142.329,58.6815,71.2533,1
104.5,-0.00211672,-0.00708825,-0.00248942,0.496603,-0.0240385,-0.305707,0.812004,142.353,58.6446,71.3457,1
105,-0.00207686,-0.00711065,-0.00249446,0.496553,-0.022672,-0.307031,0.811574,142.378,58.6092,71.4378,1
105.5,-0.00203741,-0.00713264,-0.00249838,0.496501,-0.0212956,-0.308349,0.811144,142.404,58.5753,71.5295,1
106,-0.00199837,-0.00715422,-0.00250121,0.496446,-0.0199095,-0.30966,0.810713,142.431,58.543,71.6208,1
106.5,-0.00195974,-0.00717539,-0.00250297,0.496388,-0.0185138,-0.310965,0.810282,142.459,58.5121,71.7116,1
107,-0.00192154,-0.00719615,-0.00250367,0.496327,-0.0171089,-0.312263,0.809851,142.487,58.4827,71.802,1
107.5,-0.00188377,-0.00721651,-0.00250335,0.496263,-0.0156949,-0.313555,0.809419,142.516,58.4547,71.8918,1
108,-0.00184643,-0.00723647,-0.00250202,0.496196,-0.014272,-0.314841,0.808988,142.546,58.4281,71.9811,1
108.5,-0.00180952,-0.00725602,-0.00249971,0.496124,-0.0128406,-0.31612,0.808556,142.577,58.4029,72.0699,1
109,-0.00177306,-0.00727516,-0.00249644,0.49605,-0.0114007,-0.317393,0.808125,142.608,58.379,72.158,1
109.5,-0.00173704,-0.00729391,-0.00249224,0.495971,-0.00995268,-0.31866,0.807694,142.64,58.3565,72.2456,1
110,-0.00170146,-0.00731225,-0.00248712,0.495888,-0.00849669,-0.319921,0.807263,142.673,58.3353,72.3325,1
110.5,-0.00166634,-0.0073302,-0.00248112,0.4958,-0.00703296,-0.321176,0.806833,142.706,58.3153,72.4188,1
