phase,node,time,normalized_time,T_i,qw,qx,qy,qz,wx,wy,wz,taux,tauy,tauz
1,63,63.0,0.21070234113712374,299.0,0.7071067865451635,2.356622622625393e-18,1.735272395677166e-18,0.707106775827933,-1.145405412869548e-18,9.337925154967642e-20,-2.3072886172983405e-08,-2.971545635209815e-20,1.3241664774003642e-19,-3.03550784265036e-10
1,64,64.0,0.2140468227424749,299.0,0.7071067947026605,1.918646081210912e-18,1.3633250102393381e-18,0.7071067676704358,-1.2939827012798961e-18,2.5890006122544994e-19,-2.459064009431633e-08,-1.9320806191807202e-20,1.7569765601326165e-19,8.815967798812368e-09
1,65,65.0,0.21739130434782608,299.0,0.7071068033967643,1.3696190912239542e-18,9.97368067915609e-19,0.7071067589763312,-1.3905867510611227e-18,4.7852213124273145e-19,1.9489198899748635e-08,-1.0579486321619726e-20,2.0379894092398765e-19,1.026352637581306e-08
1,66,66.0,0.22073578595317725,299.0,0.707106796506292,7.087893074210293e-19,6.749045373913072e-19,0.7071067658668038,-1.4434841546613583e-18,7.332708073985379e-19,7.080683077881945e-08,-4.001129198829671e-21,2.208177425122427e-19,-7.278469089138112e-09
1,67,67.0,0.22408026755852842,299.0,0.7071067714722972,-6.080977227314865e-20,4.238061929878271e-19,0.707106790900799,-1.4634896450092733e-18,1.0092929855393392e-18,3.4414485333114684e-08,1.775025285367958e-21,1.9684097203741678e-19,-1.1992818502812257e-08
1,68,68.0,0.22742474916387959,299.0,0.707106759304939,-9.350704466912832e-19,2.6322341468194967e-19,0.7071068030681567,-1.454614411494128e-18,1.2553442005863129e-18,-2.554960718095952e-08,7.244730991148669e-21,1.2540560717387244e-19,3.2610493955275447e-09
1,69,69.0,0.23076923076923078,299.0,0.7071067683380895,-1.8931855038612656e-18,1.9277071637065072e-19,0.7071067940350068,-1.4183908479646628e-18,1.4121012095530778e-18,-9.244360203303695e-09,1.2185366008028471e-20,-1.6638674471901167e-20,3.71877728935183e-09
1,70,70.0,0.23411371237458195,299.0,0.7071067716064644,-2.893915569588076e-18,1.9054696750366063e-19,0.707106790766632,-1.3574640561012486e-18,1.3913028664615458e-18,9.349526243477485e-09,1.7124492045014046e-20,-2.434360253854209e-19,-5.533467551064902e-09
1,71,71.0,0.23745819397993312,299.0,0.7071067683009077,-3.865751435866454e-18,2.025107932886409e-19,0.7071067940721886,-1.2718415577863316e-18,1.0870078347268952e-18,-1.831781151184667e-08,2.305968210236214e-20,-5.471385981515489e-19,-9.217134730319117e-10
1,72,72.0,0.2408026755852843,299.0,0.7071067747772322,-4.699730637861934e-18,1.371621511193162e-19,0.7071067875958643,-1.1565432035385105e-18,4.030845870328507e-19,-2.2926378877011694e-08,3.012851933032236e-20,-9.275754779783754e-19,1.2974510787367072e-09
1,73,73.0,0.24414715719063546,299.0,0.7071067828829312,-5.251142329266154e-18,-1.2922575963135715e-19,0.7071067794901653,-1.0059006283509745e-18,-7.563847604459272e-19,-1.643912348334077e-08,3.7650163907036355e-20,-1.319894152468994e-18,-1.7360323049278249e-09
1,74,74.0,0.24749163879598662,299.0,0.7071067886950391,-5.339359507423574e-18,-7.522877826168549e-19,0.7071067736780574,-8.1764977319597475e-19,-2.4062524510393542e-18,-2.5119285007995918e-08,4.4887647853310797e-20,-1.6708969643070422e-18,3.3812078179394256e-09
1,75,75.0,0.2508361204013378,299.0,0.7071067975760472,-4.7777036418819966e-18,-1.8921094269252337e-18,0.7071067647970488,-5.932113732929942e-19,-4.494873656430048e-18,-8.213245918296752e-09,5.050801267688703e-20,-1.849465532249626e-18,6.03973236590299e-09
1,76,76.0,0.25418060200668896,299.0,0.7071068004798681,-3.398257739077224e-18,-3.691019203985773e-18,0.707106761893228,-3.4067122587269154e-19,-6.8067055717478574e-18,2.1985415911230446e-08,5.255835979682519e-20,-1.7343616379246126e-18,8.677430076730315e-10
1,77,77.0,0.25752508361204013,299.0,0.7071067927068498,-1.1121694699414245e-18,-6.217998540486157e-18,0.7071067696662465,-7.787988214168626e-20,-8.974657619155607e-18,2.6324130949605345e-08,5.085688072165332e-20,-1.1657387718975681e-18,-4.332916600167817e-09
1,78,78.0,0.2608695652173913,299.0,0.7071067833998641,2.0333163458315553e-18,-9.418553911939654e-18,0.7071067789732323,1.7640382735468772e-19,-1.0431831084023495e-17,4.659547948764267e-09,4.8128266396452404e-20,-1.1054595663038301e-20,-6.188919804888604e-09
1,79,79.0,0.26421404682274247,299.0,0.7071067817524651,5.783893746279612e-18,-1.30443950129775e-17,0.7071067806206313,4.1704502368725314e-19,-1.0445649328589686e-17,-2.6285051075685352e-08,4.724443075658104e-20,1.798847221582086e-18,-5.455757247464879e-09
